# 1.16.2 VA	1.17 VA	delta	method-or-error
# Generated by scripts/map-rvas-1162-to-1170.py. Candidates, not verified hook sites: a match on an unchanged prologue does not prove the body is
# unchanged. Regenerate rather than hand-editing.
0x1403ee090	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403ee180	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403ee210	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403ee390	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403eea40	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403eea50	0x1403eec80	+0x230	nearest-anchor delta +0x230, 513 shape candidates
0x1403eea60	0x1403eec90	+0x230	unique, 48B signature, 33B fixed
0x1403eeb80	0x1403eedb0	+0x230	nearest-anchor delta +0x230, 5 shape candidates
0x1403eebd0	0x1403eee00	+0x230	nearest-anchor delta +0x230, 513 shape candidates
0x1403eebe0	0x1403eee10	+0x230	nearest-anchor delta +0x230, 513 shape candidates
0x1403eec80	0x1403eeeb0	+0x230	nearest-anchor delta +0x230, 513 shape candidates
0x1403eee10	0x1403ef040	+0x230	unique, 38B signature, 28B fixed
0x1403eeeb0	0x1403ef0e0	+0x230	nearest-anchor delta +0x230, 503 shape candidates
0x1403eefb0	0x1403ef1e0	+0x230	nearest-anchor delta +0x230, 503 shape candidates
0x1403ef430	0x1403ef660	+0x230	nearest-anchor delta +0x230, 513 shape candidates
0x1403ef440	0x1403ef670	+0x230	nearest-anchor delta +0x230, 513 shape candidates
0x1403ef8d0	0x1403efb00	+0x230	nearest-anchor delta +0x230, 246 shape candidates
0x1403ef8e0	0x1403efb10	+0x230	nearest-anchor delta +0x230, 246 shape candidates
0x1403ef8f0	0x1403efb20	+0x230	nearest-anchor delta +0x230, 29 shape candidates
0x1403ef900	0x1403efb30	+0x230	nearest-anchor delta +0x230, 24 shape candidates
0x1403ef970	0x1403efba0	+0x230	nearest-anchor delta +0x230, 24 shape candidates
0x1403efa90	0x1403efcc0	+0x230	nearest-anchor delta +0x230, 513 shape candidates
0x1403efaa0	0x1403efcd0	+0x230	nearest-anchor delta +0x230, 513 shape candidates
0x1403efad0	0x1403efd00	+0x230	nearest-anchor delta +0x230, 513 shape candidates
0x1403efbb0	0x1403efde0	+0x230	nearest-anchor delta +0x230, 246 shape candidates
0x1403efbc0	0x1403efdf0	+0x230	nearest-anchor delta +0x230, 503 shape candidates
0x1403efdf0	0x1403f0020	+0x230	nearest-anchor delta +0x230, 513 shape candidates
0x1403f0230	0x1403f0460	+0x230	nearest-anchor delta +0x230, 513 shape candidates
0x1403f0320	0x1403f0550	+0x230	nearest-anchor delta +0x230, 513 shape candidates
0x1403f0370	0x1403f05a0	+0x230	unique, 21B signature, 14B fixed
0x1403f0410	0x1403f0640	+0x230	nearest-anchor delta +0x230, 4 shape candidates
0x1403f0420	0x1403f0650	+0x230	nearest-anchor delta +0x230, 4 shape candidates
0x1403f0430	0x1403f0660	+0x230	nearest-anchor delta +0x230, 246 shape candidates
0x1403f0440	0x1403f0670	+0x230	nearest-anchor delta +0x230, 246 shape candidates
0x1403f0450	0x1403f0680	+0x230	nearest-anchor delta +0x230, 163 shape candidates
0x1403f0740	0x1403f0970	+0x230	nearest-anchor delta +0x230, 513 shape candidates
0x1403f07e0	0x1403f0a10	+0x230	nearest-anchor delta +0x230, 513 shape candidates
0x1403f09f0	0x1403f0c20	+0x230	unique, 44B signature, 29B fixed
0x1403f0b20	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f0b30	0x1403f0d60	+0x230	nearest-anchor delta +0x230, 70 shape candidates
0x1403f0b80	0x1403f0db0	+0x230	nearest-anchor delta +0x230, 70 shape candidates
0x1403f0ed0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f1160	0x1403f1390	+0x230	nearest-anchor delta +0x230, 204 shape candidates
0x1403f1180	0x1403f13b0	+0x230	nearest-anchor delta +0x230, 163 shape candidates
0x1403f1190	0x1403f13c0	+0x230	unique, 41B signature, 25B fixed
0x1403f12f0	0x1403f1520	+0x230	nearest-anchor delta +0x230, 204 shape candidates
0x1403f13b0	0x1403f15e0	+0x230	nearest-anchor delta +0x230, 204 shape candidates
0x1403f1950	0x1403f1b80	+0x230	nearest-anchor delta +0x230, 163 shape candidates
0x1403f19f0	0x1403f1c20	+0x230	nearest-anchor delta +0x230, 246 shape candidates
0x1403f1af0	0x1403f1d20	+0x230	nearest-anchor delta +0x230, 513 shape candidates
0x1403f1b50	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f1ca0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f1cb0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f1cc0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f1cd0	0x1403f1f00	+0x230	unique, 28B signature, 22B fixed
0x1403f1cf0	0x1403f1f20	+0x230	unique, 44B signature, 29B fixed
0x1403f1f20	0x1403f2150	+0x230	nearest-anchor delta +0x230, 513 shape candidates
0x1403f1f30	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f1f40	0x1403f2170	+0x230	nearest-anchor delta +0x230, 513 shape candidates
0x1403f1f50	0x1403f2180	+0x230	nearest-anchor delta +0x230, 204 shape candidates
0x1403f1f60	0x1403f2190	+0x230	nearest-anchor delta +0x230, 503 shape candidates
0x1403f1f70	0x1403f21a0	+0x230	nearest-anchor delta +0x230, 65 shape candidates
0x1403f1f90	0x1403f21c0	+0x230	nearest-anchor delta +0x230, 65 shape candidates
0x1403f1fa0	0x1403f21d0	+0x230	nearest-anchor delta +0x230, 38 shape candidates
0x1403f2470	0x1403f26a0	+0x230	nearest-anchor delta +0x230, 2 shape candidates
0x1403f28c0	0x1403f2af0	+0x230	nearest-anchor delta +0x230, 2 shape candidates
0x1403f2900	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f2a10	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f2b60	0x1403f2d90	+0x230	nearest-anchor delta +0x230, 235 shape candidates
0x1403f2be0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f2d20	0x1403f2f50	+0x230	nearest-anchor delta +0x230, 65 shape candidates
