thunk_va	size	arxan_target	kind	resolved_va	hops	refs
1401e2970	153	144cf13bc	stub-return	1401e2991	0	call:1401e2ba0,call:1401e1b40,disp:1401e29d8,disp:1401e29e1
1401e2aa0	139	145405f92	stub-return	1401e2ac0	1	
1401e2b4e	71	144ec9044	stub-return	1401e2b61	0	call:14251be90,disp:140ac032e,disp:1401e2b7b
1401e2ba0	273	1455fc540	stub-return	1401e2bba	0	disp:145b52167,disp:1401e2c7c
1401e2cd0	61	144dbc0ff	stub-return	1409f12f1	0	
1401e2d70	45	1456c42f9	stub-return	1401e2d8a	0	call:14013b4e0
1401e2da0	110	14536a0e5	reloc-body	14536a0e5	1	disp:145bd07a8,disp:1401e2e00
1401e2e10	135	144f59304	stub-return	1401e2e26	0	call:140b3ead0,disp:1453dea1d,disp:1401e2e8c
1401e2ea0	153	1458a503d	stub-return	1401e2ecb	0	call:140116780
1401e2f40	44	14579946f	stub-return	140085352	0	
1401e2f70	58	1453eaeca	stub-return	140533915	0	
1401e2fb0	145	145770992	reloc-body	145770992	0	
1401e3170	106	1452e061e	stub-return	1401e31cf	0	
1401e31e0	303	145bcb0de	stub-return	1401e322f	0	disp:1400ea7e3,disp:1401e326d
1401e3350	61	145a21461	stub-return	140190485	0	
1401e3390	61	1455afacc	stub-return	1401e33c7	0	
1401e33d0	57	145bbc24f	reloc-body	145bbc24f	0	disp:140210975,disp:1401e3403
